"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2000","2000",,,"0","Units",,,51.0329883250733,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2001","2001",,,"0","Units",,,51.3557097451229,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2002","2002",,,"0","Units",,,51.0543046642687,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2003","2003",,,"0","Units",,,51.2709948820521,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2004","2004",,,"0","Units",,,53.7051142847075,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2005","2005",,,"0","Units",,,51.1555228390606,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2006","2006",,,"0","Units",,,50.3799335721589,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2007","2007",,,"0","Units",,,49.244122704307,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2008","2008",,,"0","Units",,,49.8739846837189,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2009","2009",,,"0","Units",,,54.1447935631505,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2010","2010",,,"0","Units",,,52.8397855413296,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2011","2011",,,"0","Units",,,50.8969148481795,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2012","2012",,,"0","Units",,,51.2130309505285,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2013","2013",,,"0","Units",,,51.6476665446164,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2014","2014",,,"0","Units",,,52.4309231683267,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2015","2015",,,"0","Units",,,51.1314850879935,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2016","2016",,,"0","Units",,,50.0713225195357,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2017","2017",,,"0","Units",,,49.2988840456109,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2018","2018",,,"0","Units",,,48.7576442007818,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2019","2019",,,"0","Units",,,48.6085967216922,,
"AUT","Austria","TLYCGTGS13S","General government expenditure by function, total expenditure, percentage of GDP","2020","2020",,,"0","Units",,,56.8016615890176,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2000","2000",,,"0","Units",,,8.26470245659214,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2001","2001",,,"0","Units",,,8.5889097058711,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2002","2002",,,"0","Units",,,8.14973959493368,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2003","2003",,,"0","Units",,,7.77136152182634,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2004","2004",,,"0","Units",,,7.57556501540386,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2005","2005",,,"0","Units",,,7.77694683338225,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2006","2006",,,"0","Units",,,7.74450204228927,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2007","2007",,,"0","Units",,,7.56350571841893,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2008","2008",,,"0","Units",,,7.20996469555907,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2009","2009",,,"0","Units",,,7.80921263354122,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2010","2010",,,"0","Units",,,7.6852714515447,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2011","2011",,,"0","Units",,,7.37109882072815,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2012","2012",,,"0","Units",,,7.26117033121667,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2013","2013",,,"0","Units",,,7.21048611621369,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2014","2014",,,"0","Units",,,6.82543546138785,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2015","2015",,,"0","Units",,,6.79379333436218,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2016","2016",,,"0","Units",,,6.46222490299782,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2017","2017",,,"0","Units",,,6.00303436843657,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2018","2018",,,"0","Units",,,5.91089579888437,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2019","2019",,,"0","Units",,,5.74306126295587,,
"AUT","Austria","TLYCG010GS13S","General government expenditure by function, general public services, percentage of GDP","2020","2020",,,"0","Units",,,6.16762467008928,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2000","2000",,,"0","Units",,,0.864416660018928,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2001","2001",,,"0","Units",,,0.820446363742392,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2002","2002",,,"0","Units",,,0.78321753453213,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2003","2003",,,"0","Units",,,0.824294713339969,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2004","2004",,,"0","Units",,,0.826711113997683,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2005","2005",,,"0","Units",,,0.782894722082686,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2006","2006",,,"0","Units",,,0.714281313748614,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2007","2007",,,"0","Units",,,0.755879056393001,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2008","2008",,,"0","Units",,,0.89623259870553,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2009","2009",,,"0","Units",,,0.70822161140509,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2010","2010",,,"0","Units",,,0.643238125312947,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2011","2011",,,"0","Units",,,0.621957996400591,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2012","2012",,,"0","Units",,,0.594194864734383,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2013","2013",,,"0","Units",,,0.621598208392326,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2014","2014",,,"0","Units",,,0.578830181007388,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2015","2015",,,"0","Units",,,0.555405430801934,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2016","2016",,,"0","Units",,,0.593376070078979,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2017","2017",,,"0","Units",,,0.593469488336736,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2018","2018",,,"0","Units",,,0.581458773934162,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2019","2019",,,"0","Units",,,0.601936895764967,,
"AUT","Austria","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2020","2020",,,"0","Units",,,0.61644045566783,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2000","2000",,,"0","Units",,,1.41478385861702,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2001","2001",,,"0","Units",,,1.42771062592971,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2002","2002",,,"0","Units",,,1.42766527405844,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2003","2003",,,"0","Units",,,1.42858831050098,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2004","2004",,,"0","Units",,,1.44735101461013,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2005","2005",,,"0","Units",,,1.36951277738706,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2006","2006",,,"0","Units",,,1.35781479248814,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2007","2007",,,"0","Units",,,1.29768516902913,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2008","2008",,,"0","Units",,,1.32913759990191,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2009","2009",,,"0","Units",,,1.40188641999928,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2010","2010",,,"0","Units",,,1.36171198158925,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2011","2011",,,"0","Units",,,1.32281228055479,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2012","2012",,,"0","Units",,,1.33642221018823,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2013","2013",,,"0","Units",,,1.32127669952968,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2014","2014",,,"0","Units",,,1.32954292391923,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2015","2015",,,"0","Units",,,1.34327427403256,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2016","2016",,,"0","Units",,,1.34376766512042,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2017","2017",,,"0","Units",,,1.36430433385016,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2018","2018",,,"0","Units",,,1.35652516887393,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2019","2019",,,"0","Units",,,1.3342438093314,,
"AUT","Austria","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2020","2020",,,"0","Units",,,1.42243720437679,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2000","2000",,,"0","Units",,,4.92420922810956,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2001","2001",,,"0","Units",,,5.22887464772714,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2002","2002",,,"0","Units",,,4.95016610123474,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2003","2003",,,"0","Units",,,5.18190396151236,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2004","2004",,,"0","Units",,,8.56337487217775,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2005","2005",,,"0","Units",,,6.48803229502718,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2006","2006",,,"0","Units",,,6.3825240750051,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2007","2007",,,"0","Units",,,5.90560246627582,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2008","2008",,,"0","Units",,,6.32259982242082,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2009","2009",,,"0","Units",,,7.68357211512324,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2010","2010",,,"0","Units",,,6.52503522851763,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2011","2011",,,"0","Units",,,6.14089649115306,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2012","2012",,,"0","Units",,,6.32280802969901,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2013","2013",,,"0","Units",,,6.33898839863641,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2014","2014",,,"0","Units",,,7.37424277584904,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2015","2015",,,"0","Units",,,6.15228959033022,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2016","2016",,,"0","Units",,,5.69316761554099,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2017","2017",,,"0","Units",,,5.85184117678417,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2018","2018",,,"0","Units",,,5.85350029637342,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2019","2019",,,"0","Units",,,5.81089879148336,,
"AUT","Austria","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2020","2020",,,"0","Units",,,9.76033433332683,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2000","2000",,,"0","Units",,,0.443848894471741,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2001","2001",,,"0","Units",,,0.486475279818513,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2002","2002",,,"0","Units",,,0.489350529661867,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2003","2003",,,"0","Units",,,0.541139777435295,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2004","2004",,,"0","Units",,,0.502025473589123,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2005","2005",,,"0","Units",,,0.515922402921688,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2006","2006",,,"0","Units",,,0.49064975210441,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2007","2007",,,"0","Units",,,0.462764770098188,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2008","2008",,,"0","Units",,,0.459603493182625,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2009","2009",,,"0","Units",,,0.54751353629907,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2010","2010",,,"0","Units",,,0.572338367884137,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2011","2011",,,"0","Units",,,0.485201851386454,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2012","2012",,,"0","Units",,,0.479628250212206,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2013","2013",,,"0","Units",,,0.449865425664274,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2014","2014",,,"0","Units",,,0.454566370841475,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2015","2015",,,"0","Units",,,0.405990393042097,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2016","2016",,,"0","Units",,,0.377066561299882,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2017","2017",,,"0","Units",,,0.358450643538273,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2018","2018",,,"0","Units",,,0.372760597526815,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2019","2019",,,"0","Units",,,0.393728582509122,,
"AUT","Austria","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2020","2020",,,"0","Units",,,0.391237218485456,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2000","2000",,,"0","Units",,,0.612289477360425,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2001","2001",,,"0","Units",,,0.565269038786881,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2002","2002",,,"0","Units",,,0.520827774352833,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2003","2003",,,"0","Units",,,0.531914480679624,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2004","2004",,,"0","Units",,,0.436004780888462,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2005","2005",,,"0","Units",,,0.423457590460582,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2006","2006",,,"0","Units",,,0.368689266420598,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2007","2007",,,"0","Units",,,0.388794243440785,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2008","2008",,,"0","Units",,,0.377884253271638,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2009","2009",,,"0","Units",,,0.424962823390675,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2010","2010",,,"0","Units",,,0.384593755441089,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2011","2011",,,"0","Units",,,0.362659162168372,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2012","2012",,,"0","Units",,,0.370126705836543,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2013","2013",,,"0","Units",,,0.348408293409717,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2014","2014",,,"0","Units",,,0.345515106931923,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2015","2015",,,"0","Units",,,0.351236734110684,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2016","2016",,,"0","Units",,,0.342830745233712,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2017","2017",,,"0","Units",,,0.319610684232241,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2018","2018",,,"0","Units",,,0.325819989607918,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2019","2019",,,"0","Units",,,0.298104431674191,,
"AUT","Austria","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2020","2020",,,"0","Units",,,0.271043270556081,,
"AUT","Austria","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2000","2000",,,"0","Units",,,7.12338876610859,,
"AUT","Austria","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2001","2001",,,"0","Units",,,7.04794212068759,,
