"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.068088,
"AUT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.353996,
"BEL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.188996,
"CAN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.359075,
"CZE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.841881,
"DNK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.914449,
"FIN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.071212,
"FRA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.456799,
"DEU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.734666,
"GRC","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.281959,
"HUN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.055845,
"ISL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.456792,
"IRL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",2.685701,
"ITA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.313309,
"JPN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",2.845383,
"KOR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.965629,
"LUX","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.135428,
"MEX","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.410456,
"NLD","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.098258,
"NZL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.894696,
"NOR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",6.384842,
"POL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.786524,
"PRT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.983893,
"SVK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.388417,
"ESP","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.484492,
"SWE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.231956,
"TUR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.811133,
"GBR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.882798,
"USA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.106183,
"ARG","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.251226,
"CHL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.166119,
"COL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.880234,
"EST","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.093456,
"ISR","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.029861,
"LVA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.483975,
"SVN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.720441,
"ZAF","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.01457,
"CRI","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",6.243469,
"LTU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",2.982724,
"OAVG","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.06518781081081,
"G20","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.04766589393939,
